               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.041223,            0.051149,           0.0063613,             0.75143,              0.5497,             0.62148,             0.38548,            0.041344,            0.043565,           0.0073943,            0.002278,            0.002278,            0.002278
                  80,            0.041183,            0.050944,           0.0063014,             0.75015,             0.54988,             0.62115,             0.38525,            0.041345,            0.043572,           0.0074006,            0.002179,            0.002179,            0.002179
                  81,            0.040851,            0.050217,           0.0062572,             0.75152,             0.54846,             0.62051,             0.38523,            0.041346,            0.043582,           0.0074057,             0.00208,             0.00208,             0.00208
                  82,            0.040977,            0.050872,           0.0062842,             0.74925,             0.54859,             0.62014,             0.38487,            0.041347,            0.043588,            0.007413,            0.001981,            0.001981,            0.001981
                  83,            0.040988,            0.050883,           0.0061665,              0.7486,             0.54886,             0.61887,             0.38457,            0.041349,            0.043598,           0.0074198,            0.001882,            0.001882,            0.001882
                  84,            0.040835,            0.050863,           0.0061564,             0.74802,             0.55026,             0.61854,             0.38423,            0.041351,            0.043604,           0.0074249,            0.001783,            0.001783,            0.001783
                  85,            0.040776,            0.051179,            0.006102,             0.74458,             0.55004,             0.61838,             0.38418,            0.041351,            0.043614,           0.0074316,            0.001684,            0.001684,            0.001684
                  86,            0.040486,            0.050108,           0.0059983,             0.74599,             0.54906,             0.61824,              0.3841,            0.041352,            0.043625,           0.0074372,            0.001585,            0.001585,            0.001585
                  87,            0.040532,            0.050223,           0.0059331,             0.74863,             0.54743,             0.61785,             0.38431,            0.041354,            0.043634,           0.0074441,            0.001486,            0.001486,            0.001486
                  88,            0.040541,            0.050235,           0.0058935,             0.74768,             0.54749,              0.6188,             0.38387,            0.041357,            0.043648,           0.0074535,            0.001387,            0.001387,            0.001387
                  89,            0.040338,            0.049345,           0.0057972,             0.74981,             0.54445,             0.61802,             0.38387,            0.041359,             0.04366,           0.0074629,            0.001288,            0.001288,            0.001288
                  90,            0.040189,            0.049898,            0.005831,             0.74981,             0.54653,             0.61776,             0.38365,            0.041362,            0.043673,           0.0074728,            0.001189,            0.001189,            0.001189
                  91,            0.040157,            0.049554,           0.0056452,             0.75267,             0.54675,              0.6189,             0.38382,            0.041366,            0.043687,           0.0074816,             0.00109,             0.00109,             0.00109
                  92,            0.040131,            0.049623,           0.0058713,             0.75339,             0.54415,             0.61854,              0.3839,             0.04137,            0.043699,           0.0074924,            0.000991,            0.000991,            0.000991
                  93,            0.040047,            0.049263,           0.0056884,             0.75562,             0.54432,             0.61843,             0.38408,            0.041372,            0.043716,           0.0075001,            0.000892,            0.000892,            0.000892
                  94,             0.03991,            0.049265,           0.0055839,             0.75465,             0.54561,              0.6181,             0.38386,            0.041375,            0.043732,           0.0075111,            0.000793,            0.000793,            0.000793
                  95,            0.039843,            0.049016,           0.0055308,               0.753,             0.54431,             0.61745,             0.38406,            0.041381,            0.043749,           0.0075204,            0.000694,            0.000694,            0.000694
                  96,            0.039734,            0.048949,           0.0054364,             0.74815,             0.54627,             0.61725,             0.38368,            0.041386,            0.043771,           0.0075304,            0.000595,            0.000595,            0.000595
                  97,            0.039514,            0.048579,           0.0054333,             0.74808,             0.54585,             0.61676,             0.38348,            0.041391,            0.043788,           0.0075409,            0.000496,            0.000496,            0.000496
                  98,            0.039599,            0.048456,           0.0055035,             0.75189,             0.54339,             0.61626,             0.38314,            0.041397,            0.043808,           0.0075534,            0.000397,            0.000397,            0.000397
                  99,            0.039421,            0.048199,           0.0053692,             0.74748,             0.54536,             0.61577,             0.38311,            0.041404,            0.043828,           0.0075662,            0.000298,            0.000298,            0.000298
